"id","name","unit","minValMale","maxValMale","normalRangeMale","minValFemale","maxValFemale","normalRangeFemale","minValBaby","maxValBaby","normalRangeBaby","normalRangeDefault","createdAt","updatedAt","workspaceId","code","criticalMaxValBaby","criticalMaxValDefault","criticalMaxValFemale","criticalMaxValMale","criticalMinValBaby","criticalMinValDefault","criticalMinValFemale","criticalMinValMale"
"1069","-MICROSCOPY EXAMINATION :","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:27.510","2026-07-10 18:27:27.510",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1070","-Moxifloxacin (MF)(ML)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:27.860","2026-07-10 18:27:27.860",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1071","TBPCR-MTB DNA PCR (Qualitative) BLOOD","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:28.213","2026-07-10 18:27:28.213",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1072","TBPCR-MTB Real Time P C R","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:28.562","2026-07-10 18:27:28.562",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1073","GENEXPERT-MTB With Rifampicin Resistance - GeneXpert","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:28.912","2026-07-10 18:27:28.912",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1074","-Myeloblast and Monocytoid Cells","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:29.743","2026-07-10 18:27:29.743",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1075","MyoGLB-MYOGLOBIN","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:30.116","2026-07-10 18:27:30.116",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1076","-Nalidixic Acid (NA)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:30.460","2026-07-10 18:27:30.460",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1077","-Netillin (NET)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:31.395","2026-07-10 18:27:31.395",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1078","-Netilmycin (NT)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:33.753","2026-07-10 18:27:33.753",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1079","-Neutrophil - Lymphocyte Ratio (NLR)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:34.705","2026-07-10 18:27:34.705",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1080","-Neutrophils","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:35.298","2026-07-10 18:27:35.298",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1081","-Norfloxacin (NX)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:37.438","2026-07-10 18:27:37.438",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1082","NTPro BNP-NT-Pro BNP (N-Terminal Pro B Type Natriuretic Peptide)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:39.245","2026-07-10 18:27:39.245",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1083","BnP-NT-Pro-BNP","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:39.590","2026-07-10 18:27:39.590",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1084","-Ofloxacin (ZN)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:39.936","2026-07-10 18:27:39.936",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1085","BIOP-LARG-PAP SEMER","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:41.883","2026-07-10 18:27:41.883",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1086","PAP-PAP SMEAR EXAMINATION","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:42.713","2026-07-10 18:27:42.713",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1087","-Pap Smear Sampling Procedure","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:43.269","2026-07-10 18:27:43.269",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1088","PARACHECK-Paracheck For Malaria","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:43.619","2026-07-10 18:27:43.619",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1089","PARAHIT-Parahit Total For Malari","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:44.704","2026-07-10 18:27:44.704",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1090","PARAHIT-Parahit Total For Malaria","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:45.050","2026-07-10 18:27:45.050",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1091","-PCN","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:46.797","2026-07-10 18:27:46.797",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1092","-PCOD Profile","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:47.138","2026-07-10 18:27:47.138",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1093","PCV-PCV (Haematocrit)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:47.762","2026-07-10 18:27:47.762",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1094","PERI_EX-PERICARDIAL FLUID EXAMINATION","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:48.575","2026-07-10 18:27:48.575",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1095","PERICARDIA-PERICARDIAL FLUID FOR CULTURE & SENSITIVITY","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:49.105","2026-07-10 18:27:49.105",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1096","PERICAR-Cy-PERICARDIAL FLUID FOR CYTOLOGY","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:49.912","2026-07-10 18:27:49.912",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1097","PBF-PERIPHERAL BLOOD FILM","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:50.693","2026-07-10 18:27:50.693",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1098","P.S.-Peripheral Smear Examination (PS)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:51.033","2026-07-10 18:27:51.033",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1099","PSMP-PERIPHERAL SMEAR FOR MALARIA PARASITE","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:51.382","2026-07-10 18:27:51.382",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1100","MF-PERIPHERAL SMEAR FOR MICRO FILARIA","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:51.727","2026-07-10 18:27:51.727",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1101","PFE-PERITONEAL FLUID EXAMINATION","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:52.084","2026-07-10 18:27:52.084",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1102","PERI-AFB-PERITONEAL FLUID FOR A.F.B.","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:52.437","2026-07-10 18:27:52.437",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1103","PERI-F C/S-PERITONEAL FLUID FOR CULTURE & SENSITIVITY","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:52.800","2026-07-10 18:27:52.800",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1104","-PHOSPHORUS","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:53.144","2026-07-10 18:27:53.144",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1105","-Pipracillin/Tazobactam (P/T)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:27:53.507","2026-07-10 18:27:53.507",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1106","-Platelet - Lymphocyte Ratio (PLR)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:01.712","2026-07-10 18:28:01.712",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1107","PLT-PLATELET COUNT!","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:02.051","2026-07-10 18:28:02.051",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1108","PDW-Platelet Distribution Width(PDW)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:02.672","2026-07-10 18:28:02.672",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1109","-Platelet Indices","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:03.036","2026-07-10 18:28:03.036",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1110","-PLATELET PARAMETERS","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:03.626","2026-07-10 18:28:03.626",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1111","-Plateletcrit(PCT)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:04.215","2026-07-10 18:28:04.215",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1112","PLT-Platelets Count","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:04.563","2026-07-10 18:28:04.563",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1113","-PLATELETS INDICES","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:05.392","2026-07-10 18:28:05.392",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1114","J0PLT-PLATLETS COUNT","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:06.168","2026-07-10 18:28:06.168",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1115","-PLEURAL FLUID EXAMINATION","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:06.769","2026-07-10 18:28:06.769",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1116","P-AFB-PLEURAL FLUID FOR A.F.B.","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:07.839","2026-07-10 18:28:07.839",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1117","PLURAL C/S-PLEURAL FLUID FOR CULTURE & SENSITIVITY","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:08.180","2026-07-10 18:28:08.180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1118","PLURAL-PLURAL FLUID EXAMINATION","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:08.770","2026-07-10 18:28:08.770",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1119","PLURAL C/S-PLURAL FLUID FOR CULTURE & SENSITIVITY","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:09.364","2026-07-10 18:28:09.364",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1120","PLU-CYTO-PLURAL FLUID FOR CYTOLOGY","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:09.968","2026-07-10 18:28:09.968",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1121","-Pre Operative Profile","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:10.521","2026-07-10 18:28:10.521",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1122","PAPP-A-PREGNANCY ASSOCIATED PLASMA PROTEIN A","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:10.874","2026-07-10 18:28:10.874",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1123","PCT-Procalcitonin","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:11.696","2026-07-10 18:28:11.696",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1124","Prog-Progesteron","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:12.045","2026-07-10 18:28:12.045",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1125","PROG-PROGESTERONE","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:12.711","2026-07-10 18:28:12.711",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1126","PRL-PROLACTIN (PRL)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:13.620","2026-07-10 18:28:13.620",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1127","-Promyelocytes","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:14.214","2026-07-10 18:28:14.214",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1128","PSA-F-Prostatic Specific Antigen (PSA) - Free","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:20.501","2026-07-10 18:28:20.501",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1129","PSA.T-Prostatic Specific Antigen (PSA) - Total","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:20.858","2026-07-10 18:28:20.858",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1130","PSA-Hyb-Prostatic Specific Antigen(PSA)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:21.474","2026-07-10 18:28:21.474",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1131","UPCR-PROTEIN CREATININE RATIO - URINE (SPOT)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:21.831","2026-07-10 18:28:21.831",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1132","Prot. Elec-Protein Electrophoresis","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:22.189","2026-07-10 18:28:22.189",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1133","SPE-PROTEIN ELECTROPHORESIS, SERUM (SPE)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:22.992","2026-07-10 18:28:22.992",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1134","PT-INR-PROTHROMBIN TIME & INR","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:23.584","2026-07-10 18:28:23.584",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1135","PT-INR-PROTHROMBIN TIME WITH INR","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:23.933","2026-07-10 18:28:23.933",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1136","-PRP PROCEDURE","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:24.278","2026-07-10 18:28:24.278",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1137","PT INR-PT(Prothrombin Time) With INR*","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:24.634","2026-07-10 18:28:24.634",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1138","-PTBD","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:24.996","2026-07-10 18:28:24.996",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1139","PUS-AFB-Pus for AFB","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:25.355","2026-07-10 18:28:25.355",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1140","PUSC/S-PUS FOR CULTURE & SENSITIVITY","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:25.909","2026-07-10 18:28:25.909",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1141","-Quadruple Marker","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:26.953","2026-07-10 18:28:26.953",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1142","QuadM-Quadruple Marker, Serum","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:27.304","2026-07-10 18:28:27.304",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1143","-R.B.C. INDICES","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:28.336","2026-07-10 18:28:28.336",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1144","-RA FACTOR (QUALITATIVE)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:28.881","2026-07-10 18:28:28.881",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1145","RAF-RA FACTOR (QUANTITATIVE)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:29.483","2026-07-10 18:28:29.483",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1146","RA-RA FACTOR (SALIDE)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:29.833","2026-07-10 18:28:29.833",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1147","RA-RA TEST (TURBIDOMETRIC)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:30.183","2026-07-10 18:28:30.183",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1148","MAL-Rapid Test For Malaria","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:31.321","2026-07-10 18:28:31.321",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1149","-Rapid Test For Microfilaria","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:31.670","2026-07-10 18:28:31.670",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1150","RBC-RBC COUNT (Red Blood Cells)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:32.022","2026-07-10 18:28:32.022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1151","-RBC PARAMETERS","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:32.840","2026-07-10 18:28:32.840",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1152","-Reactive Mesothelial Cells","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:33.198","2026-07-10 18:28:33.198",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1153","MTB-Real time PCR for Mycobacterium TB Complex","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:34.037","2026-07-10 18:28:34.037",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1154","Hep-B PCR-Real time PCR test for Hepatitis B DNA Viral Load","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:34.395","2026-07-10 18:28:34.395",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1155","-Red Cell Distribution Width (RDW)-SD","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:34.749","2026-07-10 18:28:34.749",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1156","RDW-SD-RED DISTRIBUTION WIDTH-SD","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:35.103","2026-07-10 18:28:35.103",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1157","RFT-RENAL FUNCTION TEST(RFT)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:35.448","2026-07-10 18:28:35.448",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1158","-Respiratory Viruses Rapid Antigen Test","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:35.844","2026-07-10 18:28:35.844",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1159","RETIC-RETICULOCYTE COUNT","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:36.197","2026-07-10 18:28:36.197",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1160","-RFT (RENAL FUNCTION TEST)","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:36.745","2026-07-10 18:28:36.745",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1161","RUB-IgG-RUBELLA  IgG","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:37.101","2026-07-10 18:28:37.101",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1162","RUB-IgM-RUBELLA  IgM","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:37.448","2026-07-10 18:28:37.448",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1163","-RUBELLA (GERMAN MEASLES)ANTIBODIES PANEL IgG & IgM","-NA-",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Normal / Negative","2026-07-10 18:28:37.802","2026-07-10 18:28:37.802",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
